video_id	title	uploader	duration_seconds	url
BoXXBy30gbs	AALLAR, Rolih & Spijk - Sunshine Coast (feat. Luke James Shaffer)	Soave	162	https://www.youtube.com/watch?v=BoXXBy30gbs
mFWI0c6-mqI	When You're Walking Away	LAUREL	242	https://www.youtube.com/watch?v=mFWI0c6-mqI
LRr-kMauauw	Ikarus, MD DJ, Luna Dusk - Will You Find Me	7clouds Tropical	186	https://www.youtube.com/watch?v=LRr-kMauauw
tGWHiFAC3_o	Nativalien, Pinwheel Valley – On & On #Lyrics	La Belle Musique	217	https://www.youtube.com/watch?v=tGWHiFAC3_o
VzXlgo2kvjY	Sigala & Jaxomy - Riptide (Official Video) feat. Ilan Kidron	Jaxomy	139	https://www.youtube.com/watch?v=VzXlgo2kvjY
yJwexO9C2-Y	Wave94 - I Had Some Help	MrRevillz	143	https://www.youtube.com/watch?v=yJwexO9C2-Y
dGYF-uZ11iQ	Leave (Extended Mix)	Efix - Topic	282	https://www.youtube.com/watch?v=dGYF-uZ11iQ
5XnMi7F5kpk	The City Below	Mackintosh Braun - Topic	219	https://www.youtube.com/watch?v=5XnMi7F5kpk
7bX5tDxttSM	Μεσαία Άρκτος - Μαρίνα Σπανού (Official Audio Release)	Μαρίνα Σπανού	258	https://www.youtube.com/watch?v=7bX5tDxttSM
_kS7F4VpJa0	Travis Scott, Bad Bunny, The Weeknd - K-POP (Official Music Video)	Travis Scott	211	https://www.youtube.com/watch?v=_kS7F4VpJa0
O7dy9XFV0Gw	Myles Smith - My First Heartbreak (Lyrics Video)	Epiphany Soft-Pop	203	https://www.youtube.com/watch?v=O7dy9XFV0Gw
bT9pjCnIA-c	Tinashe & Disco Lines - No Broke Boys (Live from LIV Beach Las Vegas)	Tinashe	165	https://www.youtube.com/watch?v=bT9pjCnIA-c
o_IflRBvEUk	All The Way (Official Video)	Jamie Woon	267	https://www.youtube.com/watch?v=o_IflRBvEUk
BDHM8cyJQa8	Gracie Abrams - That’s So True (Official Lyric Video)	Gracie Abrams	167	https://www.youtube.com/watch?v=BDHM8cyJQa8
cc8EcYBPjnY	Aly & AJ - Get Over Here (Official Audio)	Aly & AJ	236	https://www.youtube.com/watch?v=cc8EcYBPjnY
TlP8oC8sGIM	Gorgon City - All Four Walls ft. Vaults	Gorgon City	196	https://www.youtube.com/watch?v=TlP8oC8sGIM
rx5VJfOxZD4	Vandelux and Tailor - By Your Side	Vandelux	236	https://www.youtube.com/watch?v=rx5VJfOxZD4
A52m9huM4UI	Mave & Zac - So Sick	Future House Cloud	151	https://www.youtube.com/watch?v=A52m9huM4UI
racOdq5e_ZU	Truly Limited - "Only Chill" (Official Audio)	Truly Limited	240	https://www.youtube.com/watch?v=racOdq5e_ZU
UoBsiQW23IY	[MV] MeloMance(멜로망스) _ Love, Maybe(사랑인가 봐) (사내맞선 OST 스페셜 트랙(A Business Proposal OST Special Track))	1theK (원더케이)	188	https://www.youtube.com/watch?v=UoBsiQW23IY
lfdlhAqgYeU	nimino, Maverick Sabre - Beside Of Me	MrRevillz	207	https://www.youtube.com/watch?v=lfdlhAqgYeU
VAm7svuw5iI	Dynamites	Glassio - Topic	285	https://www.youtube.com/watch?v=VAm7svuw5iI
E310uF-n_QE	Nimus - Before the Sun Sets (feat. RED)	We Are Diamond	121	https://www.youtube.com/watch?v=E310uF-n_QE
VpnHirxqFRo	She Pretends	Isaac Delusion	246	https://www.youtube.com/watch?v=VpnHirxqFRo
QrNhcDk3Qc0	Amy Shark - Loving Me Lover (Official Video)	Amy Shark	209	https://www.youtube.com/watch?v=QrNhcDk3Qc0
UaWZMXNsCLA	Orfa & Tamaskin - Change	Future House Cloud	116	https://www.youtube.com/watch?v=UaWZMXNsCLA
G0R7Z2A0XeY	Olivia Rodrigo - pretty isn’t pretty (Official Lyric Video)	Olivia Rodrigo	200	https://www.youtube.com/watch?v=G0R7Z2A0XeY
J2zgVCqJDxs	Bakermat - Wahejo (Official Audio)	Bakermat	146	https://www.youtube.com/watch?v=J2zgVCqJDxs
UwoqGA-Eygk	Valsian & Siddhartha - Nada Te Lastima (Video Oficial)	Valsian Música	254	https://www.youtube.com/watch?v=UwoqGA-Eygk
WZj4irWwI4I	Summer Nights	LiQWYD	176	https://www.youtube.com/watch?v=WZj4irWwI4I
-3fkWEyS-wc	Lily Fitts - I Don't Owe You Shit (Lyrics)	Enthrall	137	https://www.youtube.com/watch?v=-3fkWEyS-wc
W9n_zXy6-D4	Empire Of The Sun - Way To Go (Pavel Bidlo Retouch)	Pavel Bidlo	363	https://www.youtube.com/watch?v=W9n_zXy6-D4
WJDPTmv471w	Luna	Nathan Ball	287	https://www.youtube.com/watch?v=WJDPTmv471w
SJbVcMcSRpY	Rosemary Fairweather - Calling Listening (Audio)	Rosemary Fairweather	237	https://www.youtube.com/watch?v=SJbVcMcSRpY
WODUdn9Vidw	Nancy Again	Carter Vail	195	https://www.youtube.com/watch?v=WODUdn9Vidw
3X75WK2FbVA	Royel Otis - dancing with myself (visualizer)	Royel Otis	186	https://www.youtube.com/watch?v=3X75WK2FbVA
DI4e2Gu5MAk	Nell Smith - Billions of People [Official Video]	Nell Smith	239	https://www.youtube.com/watch?v=DI4e2Gu5MAk
0YIwilrIy1g	Lost	Intergalactic Lovers - Topic	228	https://www.youtube.com/watch?v=0YIwilrIy1g
20iCZeU35eQ	Diving Woman	Japanese Breakfast	393	https://www.youtube.com/watch?v=20iCZeU35eQ
E1Jl5rzSVso	Cal in Red - Habits (Official Video)	Cal in Red	245	https://www.youtube.com/watch?v=E1Jl5rzSVso
GEuq7ynV8ko	right now	Mora Michelle	215	https://www.youtube.com/watch?v=GEuq7ynV8ko
UDVWRFs-NiM	Good Neighbours - Small Town (Lyric Video)	GOOD NEIGHBOURS	144	https://www.youtube.com/watch?v=UDVWRFs-NiM
upyZ_6mhX-0	Aidan Fine - Undercover (Official Music Video) [New Music 2025]	Revive Music	188	https://www.youtube.com/watch?v=upyZ_6mhX-0
AXAj7tBHIwc	Taylor Roche - costume party (Music Video)	Revive Music	200	https://www.youtube.com/watch?v=AXAj7tBHIwc
VaPw7I9zxco	Jessica Leigh - GIRLFRIENDS (Music Video)	Revive Music	181	https://www.youtube.com/watch?v=VaPw7I9zxco
by7tDsa35Bw	MAESTRI, Mallou & Deep Mage - Times Two	Supreme	130	https://www.youtube.com/watch?v=by7tDsa35Bw
G1OV_CXdhiU	Jubël, Alida - Waiting For A Star To Fall (Lyric Video)	Jubël	167	https://www.youtube.com/watch?v=G1OV_CXdhiU
OqGhD40VtsI	Tropical Lounge	Il Greco - Topic	172	https://www.youtube.com/watch?v=OqGhD40VtsI
hZFjO9agemo	wax., SALEEM & Waxel - Living So Cold (ft. Fuzeejasmine)[Afro House]	Future House Cloud	150	https://www.youtube.com/watch?v=hZFjO9agemo
nymbhueaoiM	I've Fallen for You	Tom Redwood - Topic	198	https://www.youtube.com/watch?v=nymbhueaoiM
ahYsNXC1X-8	Pomplamoose - Angélique (Lyric Video)	PomplamooseMusic	200	https://www.youtube.com/watch?v=ahYsNXC1X-8
gwWWsJYR_pQ	Lunar Vacation - Mold (Official Video)	Lunar Vacation	227	https://www.youtube.com/watch?v=gwWWsJYR_pQ
Q7GPCGw14Yg	Sports - Damn I'm Tired (Official Music Video)	Sports	226	https://www.youtube.com/watch?v=Q7GPCGw14Yg
_th1Cjn5kj4	Lori Meyers - No Hay Excusa	Lori Meyers	247	https://www.youtube.com/watch?v=_th1Cjn5kj4
tym9go9tIPk	XUZZ - Mississippi (Music Video)	Revive Music	181	https://www.youtube.com/watch?v=tym9go9tIPk
uG_Bo-QBhB8	Higher Than Ever	Pamungkas	254	https://www.youtube.com/watch?v=uG_Bo-QBhB8
dR2VflEx_WY	Animals	Release - Topic	342	https://www.youtube.com/watch?v=dR2VflEx_WY
ktll1S4Txps	Global Genius - Moment (lyrics)	SongLy	199	https://www.youtube.com/watch?v=ktll1S4Txps
flTdYmxGbA8	Horror Disco - Stars Die (Official Music Video)	HorrorDiscoVEVO	224	https://www.youtube.com/watch?v=flTdYmxGbA8
PB4hpiUyHec	Nayia - Flowering Wild [Official Video]	Nayia	229	https://www.youtube.com/watch?v=PB4hpiUyHec
-ymi6hZahlo	Rumi & Jinu - 'Free' (Music Video) | KPop Demon Hunters | Netflix Philippines	Netflix Philippines	202	https://www.youtube.com/watch?v=-ymi6hZahlo
l8Dr7vzMSVE	“Takedown” Official Lyric Video feat. Jeongyeon, Jihyo and Chaeyoung from TWICE | KPop Demon Hunters	Sony Pictures Animation	188	https://www.youtube.com/watch?v=l8Dr7vzMSVE
